Student ID,Practice Problem,BERTTokens
11,"Electronic charge e may be determined by Millikan’s oil drop method. Oil
drops of radius r acquire a terminal speed v1 with downward E
and a speed v2 with the upward electric field.","['electronic', 'charge', 'e', 'may', 'be', 'determined', 'by', 'mill', '##ika', '##n', '’', 's', 'oil', 'drop', 'method', '.', 'oil', 'drops', 'of', 'radius', 'r', 'acquire', 'a', 'terminal', 'speed', 'v', '##1', 'with', 'downward', 'e', 'and', 'a', 'speed', 'v', '##2', 'with', 'the', 'upward', 'electric', 'field', '.']"
12,the rotational E = 3mv2/5,"['the', 'rotational', 'e', '=', '3', '##m', '##v', '##2', '/', '5']"
13,"A ring of radius r located in the xy-plane is given a total charge Q = 2πRλ.
Show that E is maximum when the distance z = r/
√2.","['a', 'ring', 'of', 'radius', 'r', 'located', 'in', 'the', 'x', '##y', '-', 'plane', 'is', 'given', 'a', 'total', 'charge', 'q', '=', '2', '##π', '##r', '##λ', '.', 'show', 'that', 'e', 'is', 'maximum', 'when', 'the', 'distance', 'z', '=', 'r', '/', '√', '##2', '.']"
14,"The e in a hydrogen atom orbits the proton at a radius of 5.3 ×
10−11 m.","['the', 'e', 'in', 'a', 'hydrogen', 'atom', 'orbits', 'the', 'proton', 'at', 'a', 'radius', 'of', '5', '.', '3', '×', '10', '##−1', '##1', 'm', '.']"
15,"A body slides down a rough plane inclined to the horizontal at 30◦. If 70% of
the initial potential E is dissipated during the descent, find the coefficient
of sliding friction.","['a', 'body', 'slides', 'down', 'a', 'rough', 'plane', 'inclined', 'to', 'the', 'horizontal', 'at', '[UNK]', '.', 'if', '70', '%', 'of', 'the', 'initial', 'potential', 'e', 'is', 'dissipated', 'during', 'the', 'descent', ',', 'find', 'the', 'coefficient', 'of', 'sliding', 'friction', '.']"
16,In the case of completely inelastic collision of two bodies of m m1 and m2 travelling with velocities u1 and u2 show that the E that is imparted is proportional to the square of the relative velocity of approach.,"['in', 'the', 'case', 'of', 'completely', 'in', '##ela', '##stic', 'collision', 'of', 'two', 'bodies', 'of', 'm', 'm1', 'and', 'm2', 'travelling', 'with', 've', '##lo', '##cit', '##ies', 'u', '##1', 'and', 'u2', 'show', 'that', 'the', 'e', 'that', 'is', 'imp', '##arte', '##d', 'is', 'proportional', 'to', 'the', 'square', 'of', 'the', 'relative', 'velocity', 'of', 'approach', '.']"
17,"An e is released from a distance 120 cm from a stationary point charge
+2 × 10−9 C. Calculate the speed of the electron when it is 18 cm from the
point charge.","['an', 'e', 'is', 'released', 'from', 'a', 'distance', '120', 'cm', 'from', 'a', 'stationary', 'point', 'charge', '+', '2', '×', '10', '##−', '##9', 'c', '.', 'calculate', 'the', 'speed', 'of', 'the', 'electron', 'when', 'it', 'is', '18', 'cm', 'from', 'the', 'point', 'charge', '.']"
18,How is electric flux related to the E?,"['how', 'is', 'electric', 'flux', 'related', 'to', 'the', 'e', '?']"
19,E = 0 when r < b as no charge exists in this region.,"['e', '=', '0', 'when', 'r', '<', 'b', 'as', 'no', 'charge', 'exists', 'in', 'this', 'region', '.']"
20,"E' < E; the electric field is decreased since E = V/d, and V is constant","['e', ""'"", '<', 'e', ';', 'the', 'electric', 'field', 'is', 'decreased', 'since', 'e', '=', 'v', '/', 'd', ',', 'and', 'v', 'is', 'constant']"
21,"A projectile is fired with p at an angle θ with the horizontal on a
plain ground at the point A. It reaches the point B. Calculate the magnitude of
change in momentum at A and B.","['a', 'projectile', 'is', 'fired', 'with', 'p', 'at', 'an', 'angle', 'θ', 'with', 'the', 'horizontal', 'on', 'a', 'plain', 'ground', 'at', 'the', 'point', 'a', '.', 'it', 'reaches', 'the', 'point', 'b', '.', 'calculate', 'the', 'magnitude', 'of', 'change', 'in', 'momentum', 'at', 'a', 'and', 'b', '.']"
22,Two objects collide with each other and come to a rest. How can you use the equation of conservation of p to describe this situation?,"['two', 'objects', 'col', '##lide', 'with', 'each', 'other', 'and', 'come', 'to', 'a', 'rest', '.', 'how', 'can', 'you', 'use', 'the', 'equation', 'of', 'conservation', 'of', 'p', 'to', 'describe', 'this', 'situation', '?']"
23,"In an elastic collision, an object with p 25kg⋅m/scollides with another object moving to the right that has a momentum 35 kg⋅m/s.","['in', 'an', 'elastic', 'collision', ',', 'an', 'object', 'with', 'p', '25', '##k', '##g', '##⋅', '##m', '/', 'sc', '##oll', '##ides', 'with', 'another', 'object', 'moving', 'to', 'the', 'right', 'that', 'has', 'a', 'momentum', '35', 'kg', '##⋅', '##m', '/', 's', '.']"
24,P=IV,"['p', '=', 'iv']"
25,"Three equal resistors, connected in series across a source of emf together,
dissipate 10 W of P. ","['three', 'equal', 'resist', '##ors', ',', 'connected', 'in', 'series', 'across', 'a', 'source', 'of', 'em', '##f', 'together', ',', 'di', '##ssi', '##pate', '10', 'w', 'of', 'p', '.']"
26,"Find the P dissipated in the resistor R and in the battery’s internal
resistance r.","['find', 'the', 'p', 'dissipated', 'in', 'the', 'resist', '##or', 'r', 'and', 'in', 'the', 'battery', '’', 's', 'internal', 'resistance', 'r', '.']"
27,"Assume that a star has uniform density. Show that the gravitational
P ∝ V^−4/3, where V is the volume.","['assume', 'that', 'a', 'star', 'has', 'uniform', 'density', '.', 'show', 'that', 'the', 'gravitational', 'p', '[UNK]', 'v', '^', '−', '##4', '/', '3', ',', 'where', 'v', 'is', 'the', 'volume', '.']"
28,"Let both d and p of a plane wave vary harmonically. Obtain
a relation between pressure amplitude and displacement amplitude.","['let', 'both', 'd', 'and', 'p', 'of', 'a', 'plane', 'wave', 'vary', 'harmonica', '##lly', '.', 'obtain', 'a', 'relation', 'between', 'pressure', 'amplitude', 'and', 'displacement', 'amplitude', '.']"
29,"A venturi meter has a pipe diameter of 20 cm and a throat diameter of 10 cm.
If the water P in the pipe is 60,000 Pa and in the throat is 45,000 Pa,
calculate the rate of flow of water in m3/s.","['a', 'vent', '##uri', 'meter', 'has', 'a', 'pipe', 'diameter', 'of', '20', 'cm', 'and', 'a', 'throat', 'diameter', 'of', '10', 'cm', '.', 'if', 'the', 'water', 'p', 'in', 'the', 'pipe', 'is', '60', ',', '000', 'pa', 'and', 'in', 'the', 'throat', 'is', '45', ',', '000', 'pa', ',', 'calculate', 'the', 'rate', 'of', 'flow', 'of', 'water', 'in', 'm3', '/', 's', '.']"
30,"Let the pressure at the beginning of the first tube be P1 and at the end P2. Since
the water flow must be continuous, the rate of flow in the two tubes must be
identical, that is, Q1 = Q2.","['let', 'the', 'pressure', 'at', 'the', 'beginning', 'of', 'the', 'first', 'tube', 'be', 'p', '##1', 'and', 'at', 'the', 'end', 'p', '##2', '.', 'since', 'the', 'water', 'flow', 'must', 'be', 'continuous', ',', 'the', 'rate', 'of', 'flow', 'in', 'the', 'two', 'tubes', 'must', 'be', 'identical', ',', 'that', 'is', ',', 'q', '##1', '=', 'q', '##2', '.']"
31,"2 A ball is dropped into a lake from a diving board 4.9 m above the water. It
hits the water with velocity v and then sinks to the bottom with the constant
velocity v. It reaches the bottom of the lake 5.0 s after it is dropped.","['2', 'a', 'ball', 'is', 'dropped', 'into', 'a', 'lake', 'from', 'a', 'diving', 'board', '4', '.', '9', 'm', 'above', 'the', 'water', '.', 'it', 'hits', 'the', 'water', 'with', 'velocity', 'v', 'and', 'then', 'sinks', 'to', 'the', 'bottom', 'with', 'the', 'constant', 'velocity', 'v', '.', 'it', 'reaches', 'the', 'bottom', 'of', 'the', 'lake', '5', '.', '0', 's', 'after', 'it', 'is', 'dropped', '.']"
32,"In the triangle ACD, CA represents magnitude and apparent direction of
wind’s velocity w1, when the man walks with velocity DC = v = 4 km/h
toward west, Fig. 1.16.","['in', 'the', 'triangle', 'ac', '##d', ',', 'ca', 'represents', 'magnitude', 'and', 'apparent', 'direction', 'of', 'wind', '’', 's', 'velocity', 'w', '##1', ',', 'when', 'the', 'man', 'walks', 'with', 'velocity', 'dc', '=', 'v', '=', '4', 'km', '/', 'h', 'toward', 'west', ',', 'fig', '.', '1', '.', '16', '.']"
33,"A smooth sphere of mass m moving with speed v on a smooth horizontal
surface collides directly with a second sphere of the same size but of half the
mass that is initially at rest. ","['a', 'smooth', 'sphere', 'of', 'mass', 'm', 'moving', 'with', 'speed', 'v', 'on', 'a', 'smooth', 'horizontal', 'surface', 'col', '##lide', '##s', 'directly', 'with', 'a', 'second', 'sphere', 'of', 'the', 'same', 'size', 'but', 'of', 'half', 'the', 'mass', 'that', 'is', 'initially', 'at', 'rest', '.']"
34,"A capacitor of capacitance 5 μF is charged up to a PD of 250 V. Its terminals
are then connected to those of an uncharged capacitor of capacitance 20μF.
What would be the resulting V?","['a', 'cap', '##ac', '##itor', 'of', 'cap', '##ac', '##itan', '##ce', '5', 'μ', '##f', 'is', 'charged', 'up', 'to', 'a', 'pd', 'of', '250', 'v', '.', 'its', 'terminals', 'are', 'then', 'connected', 'to', 'those', 'of', 'an', 'un', '##charged', 'cap', '##ac', '##itor', 'of', 'cap', '##ac', '##itan', '##ce', '20', '##μ', '##f', '.', 'what', 'would', 'be', 'the', 'resulting', 'v', '?']"
35,A pocket voltmeter has a resistance of 120. What will it read when connected to a battery of emf 9 V and an internal resistance 15?,"['a', 'pocket', 'vol', '##tm', '##eter', 'has', 'a', 'resistance', 'of', '120', '.', 'what', 'will', 'it', 'read', 'when', 'connected', 'to', 'a', 'battery', 'of', 'em', '##f', '9', 'v', 'and', 'an', 'internal', 'resistance', '15', '?']"
36,"Use the Poynting vector to determine the power flow in a coaxial cable by
a DC current I when V is applied.","['use', 'the', 'po', '##yn', '##ting', 'vector', 'to', 'determine', 'the', 'power', 'flow', 'in', 'a', 'coa', '##xia', '##l', 'cable', 'by', 'a', 'dc', 'current', 'i', 'when', 'v', 'is', 'applied', '.']"
37,"By considering a V, of ideal gas, containing N spherical
molecules with radius r, show that the mean free path of the molecules
can be defined by the equation","['by', 'considering', 'a', 'v', ',', 'of', 'ideal', 'gas', ',', 'containing', 'n', 'spherical', 'molecules', 'with', 'radius', 'r', ',', 'show', 'that', 'the', 'mean', 'free', 'path', 'of', 'the', 'molecules', 'can', 'be', 'defined', 'by', 'the', 'equation']"
38,"Determine the constant in the gas equation given that a gram molecule of a
gas occupies a V of 22.4 l at NTP","['determine', 'the', 'constant', 'in', 'the', 'gas', 'equation', 'given', 'that', 'a', 'gram', 'molecule', 'of', 'a', 'gas', 'occupies', 'a', 'v', 'of', '22', '.', '4', 'l', 'at', 'nt', '##p']"
39,"Two glass bulbs of V 500 and 100 cc are connected by a narrow tube
whose volume is negligible. ","['two', 'glass', 'bulbs', 'of', 'v', '500', 'and', '100', 'cc', 'are', 'connected', 'by', 'a', 'narrow', 'tube', 'whose', 'volume', 'is', 'ne', '##gli', '##gible', '.']"
40,"Find the V and pressure, p, at the final state of the gas, then
sketch the three processes in a p–V diagram.","['find', 'the', 'v', 'and', 'pressure', ',', 'p', ',', 'at', 'the', 'final', 'state', 'of', 'the', 'gas', ',', 'then', 'sketch', 'the', 'three', 'processes', 'in', 'a', 'p', '–', 'v', 'diagram', '.']"
41,"Show that the characteristic impedance ρv of a gas is inversely proportional
to the square root of its absolute T.","['show', 'that', 'the', 'characteristic', 'imp', '##edance', 'ρ', '##v', 'of', 'a', 'gas', 'is', 'inverse', '##ly', 'proportional', 'to', 'the', 'square', 'root', 'of', 'its', 'absolute', 't', '.']"
42,"Consider a gas that has a molecular weight of 28 and a t of
27◦C. What is the rms speed of molecule of the gas if it has a Maxwellian
velocity distribution?","['consider', 'a', 'gas', 'that', 'has', 'a', 'molecular', 'weight', 'of', '28', 'and', 'a', 't', 'of', '[UNK]', '.', 'what', 'is', 'the', 'rms', 'speed', 'of', 'molecule', 'of', 'the', 'gas', 'if', 'it', 'has', 'a', 'maxwell', '##ian', 'velocity', 'distribution', '?']"
43,"A 20 m long steel rail is firmly attached to the road bed only at its ends. The
sun raises the t of the rail by 30◦C, causing the rail to buckle.
Assuming that the buckled rail consists of two straight parts meeting in the
centre, calculate how much the centre of the rail rises? ","['a', '20', 'm', 'long', 'steel', 'rail', 'is', 'firmly', 'attached', 'to', 'the', 'road', 'bed', 'only', 'at', 'its', 'ends', '.', 'the', 'sun', 'raises', 'the', 't', 'of', 'the', 'rail', 'by', '[UNK]', ',', 'causing', 'the', 'rail', 'to', 'buckle', '.', 'assuming', 'that', 'the', 'buckled', 'rail', 'consists', 'of', 'two', 'straight', 'parts', 'meeting', 'in', 'the', 'centre', ',', 'calculate', 'how', 'much', 'the', 'centre', 'of', 'the', 'rail', 'rises', '?']"
44,"A car starts from rest at constant acceleration of 2.0 m/s2. At the same instant
a truck travelling with a constant speed of 10 m/s overtakes and passes the car. After what t will this happen?","['a', 'car', 'starts', 'from', 'rest', 'at', 'constant', 'acceleration', 'of', '2', '.', '0', 'm', '/', 's', '##2', '.', 'at', 'the', 'same', 'instant', 'a', 'truck', 'travelling', 'with', 'a', 'constant', 'speed', 'of', '10', 'm', '/', 's', 'over', '##take', '##s', 'and', 'passes', 'the', 'car', '.', 'after', 'what', 't', 'will', 'this', 'happen', '?']"
45,"Cars A and B are travelling in adjacent lanes along a straight road (Fig. 1.2).
At t = 0 their positions and speeds are as shown in the diagram. ","['cars', 'a', 'and', 'b', 'are', 'travelling', 'in', 'adjacent', 'lanes', 'along', 'a', 'straight', 'road', '(', 'fig', '.', '1', '.', '2', ')', '.', 'at', 't', '=', '0', 'their', 'positions', 'and', 'speeds', 'are', 'as', 'shown', 'in', 'the', 'diagram', '.']"
46,"A stone is dropped into the water from a tower 44.1 m above the ground.
Another stone is thrown vertically down 1.0 s after the first one is dropped.
Both the stones strike the ground at the same t. ","['a', 'stone', 'is', 'dropped', 'into', 'the', 'water', 'from', 'a', 'tower', '44', '.', '1', 'm', 'above', 'the', 'ground', '.', 'another', 'stone', 'is', 'thrown', 'vertically', 'down', '1', '.', '0', 's', 'after', 'the', 'first', 'one', 'is', 'dropped', '.', 'both', 'the', 'stones', 'strike', 'the', 'ground', 'at', 'the', 'same', 't', '.']"
47,"A star has initially a radius of 6 × 108 m and a period of rotation about its
axis of 30 days. Eventually it evolves into a neutron star with a radius of only
104 m and a T of 0.1 s","['a', 'star', 'has', 'initially', 'a', 'radius', 'of', '6', '×', '108', 'm', 'and', 'a', 'period', 'of', 'rotation', 'about', 'its', 'axis', 'of', '30', 'days', '.', 'eventually', 'it', 'evolve', '##s', 'into', 'a', 'neutron', 'star', 'with', 'a', 'radius', 'of', 'only', '104', 'm', 'and', 'a', 't', 'of', '0', '.', '1', 's']"
48," The squares of the T of rotation of planets about the sun are proportional
to the cubes of the semi-major axes of the ellipses.","['the', 'squares', 'of', 'the', 't', 'of', 'rotation', 'of', 'planets', 'about', 'the', 'sun', 'are', 'proportional', 'to', 'the', 'cube', '##s', 'of', 'the', 'semi', '-', 'major', 'axes', 'of', 'the', 'el', '##lip', '##ses', '.']"
49,"If the earth’s T of orbit round the sun is 365.3
days and Venus is 224.7 days","['if', 'the', 'earth', '’', 's', 't', 'of', 'orbit', 'round', 'the', 'sun', 'is', '365', '.', '3', 'days', 'and', 'venus', 'is', '224', '.', '7', 'days']"
50,"A small meteor of mass m falls into the sun when the earth is at the end of
the minor axis of its orbit. If M is the mass of the sun, find the changes in the
major axis and in the time T of the earth.","['a', 'small', 'meteor', 'of', 'mass', 'm', 'falls', 'into', 'the', 'sun', 'when', 'the', 'earth', 'is', 'at', 'the', 'end', 'of', 'the', 'minor', 'axis', 'of', 'its', 'orbit', '.', 'if', 'm', 'is', 'the', 'mass', 'of', 'the', 'sun', ',', 'find', 'the', 'changes', 'in', 'the', 'major', 'axis', 'and', 'in', 'the', 'time', 't', 'of', 'the', 'earth', '.']"
